Date,Shortage
2014-01-01,-49.0
2014-01-02,-72.0
2014-01-03,-68.0
2014-01-04,-109.0
2014-01-05,-30.0
2014-01-06,-48.0
2014-01-07,-92.0
2014-01-08,-73.0
2014-01-09,-29.0
2014-01-10,-46.0
2014-01-11,-19.0
2014-01-12,-59.0
2014-01-13,-3.0
2014-01-14,-25.0
2014-01-15,-64.0
2014-01-16,-100.0
2014-01-17,-88.0
2014-01-18,-46.0
2014-01-19,47.0
2014-01-20,-29.0
2014-01-21,-52.0
2014-01-22,-150.0
2014-01-23,-75.0
2014-01-24,-29.0
2014-01-25,-69.0
2014-01-26,-75.0
2014-01-27,-72.0
2014-01-28,-63.0
2014-01-29,-111.0
2014-01-30,-74.0
2014-01-31,-15.0
2014-02-01,-65.0
2014-02-02,-38.0
2014-02-03,-72.0
2014-02-04,-94.0
2014-02-05,-42.0
2014-02-06,-132.0
2014-02-07,-15.0
2014-02-08,-39.0
2014-02-09,-69.0
2014-02-10,-15.0
2014-02-11,-19.0
2014-02-12,-40.0
2014-02-13,-32.0
2014-02-14,-78.0
2014-02-15,-37.0
2014-02-16,-40.0
2014-02-17,-34.0
2014-02-18,-99.0
2014-02-19,-123.0
2014-02-20,-59.0
2014-02-21,-160.0
2014-02-22,-101.0
2014-02-23,-60.0
2014-02-24,-66.0
2014-02-25,1.0
2014-02-26,-25.0
2014-02-27,-50.0
2014-02-28,-45.0
2014-03-01,-46.0
2014-03-02,-80.0
2014-03-03,-95.0
2014-03-04,-41.0
2014-03-05,-68.0
2014-03-06,-10.0
2014-03-07,-51.0
2014-03-08,-29.0
2014-03-09,-45.0
2014-03-10,-135.0
2014-03-11,-122.0
2014-03-12,-18.0
2014-03-13,-18.0
2014-03-14,0.0
2014-03-15,63.0
2014-03-16,9.0
2014-03-17,-2.0
2014-03-18,-33.0
2014-03-19,-16.0
2014-03-20,0.0
2014-03-21,-129.0
2014-03-22,50.0
2014-03-23,31.0
2014-03-24,32.0
2014-03-25,-29.0
2014-03-26,-23.0
2014-03-27,-26.0
2014-03-28,-26.0
2014-03-29,-3.0
2014-03-30,-9.0
2014-03-31,-78.0
2014-04-01,-6.0
2014-04-02,13.0
2014-04-03,-18.0
2014-04-04,-80.0
2014-04-05,-34.0
2014-04-06,-48.0
2014-04-07,35.0
2014-04-08,-59.0
2014-04-09,-49.0
2014-04-10,-15.0
2014-04-11,26.0
2014-04-12,-42.0
2014-04-13,-98.0
2014-04-14,-36.0
2014-04-15,0.0
2014-04-16,2.0
2014-04-17,-45.0
2014-04-18,17.0
2014-04-19,-94.0
2014-04-20,-38.0
2014-04-21,-63.0
2014-04-22,12.0
2014-04-23,3.0
2014-04-24,-50.0
2014-04-25,46.0
2014-04-26,38.0
2014-04-27,-60.0
2014-04-28,-58.0
2014-04-29,-47.0
2014-04-30,4.0
2014-05-01,55.0
2014-05-02,47.0
2014-05-03,23.0
2014-05-04,16.0
2014-05-05,25.0
2014-05-06,70.0
2014-05-07,31.0
2014-05-08,22.0
2014-05-09,34.0
2014-05-10,-7.0
2014-05-11,23.0
2014-05-12,12.0
2014-05-13,50.0
2014-05-14,15.0
2014-05-15,36.0
2014-05-16,-63.0
2014-05-17,-29.0
2014-05-18,52.0
2014-05-19,11.0
2014-05-20,-19.0
2014-05-21,55.0
2014-05-22,-24.0
2014-05-23,29.0
2014-05-24,37.0
2014-05-25,-27.0
2014-05-26,23.0
2014-05-27,-15.0
2014-05-28,-19.0
2014-05-29,-29.0
2014-05-30,-22.0
2014-05-31,-32.0
2014-06-01,7.0
2014-06-02,8.0
2014-06-03,1.0
2014-06-04,-31.0
2014-06-05,-15.0
2014-06-06,-39.0
2014-06-07,-79.0
2014-06-08,0.0
2014-06-09,-51.0
2014-06-10,-59.0
2014-06-11,-24.0
2014-06-12,-21.0
2014-06-13,-65.0
2014-06-14,20.0
2014-06-15,-51.0
2014-06-16,-59.0
2014-06-17,-45.0
2014-06-18,-28.0
2014-06-19,-4.0
2014-06-20,-4.0
2014-06-21,-27.0
2014-06-22,-46.0
2014-06-23,-67.0
2014-06-24,-75.0
2014-06-25,-15.0
2014-06-26,-30.0
2014-06-27,-66.0
2014-06-28,-58.0
2014-06-29,-99.0
2014-06-30,-62.0
2014-07-01,-21.0
2014-07-02,-83.0
2014-07-03,-121.0
2014-07-04,-124.0
2014-07-05,-78.0
