,year,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW)
0,2013,11,151410004.0,8033507.0,0.0,69062.0,112202.0,63775.0,0.0,2140882.0,140956438.0
1,2013,24,39365611.0,682476.0,136539494.0,3016843.0,328563.0,331962.0,0.0,497028.0,-102060295.0
2,2013,27,44410924.0,2139425.0,0.0,561235.0,293134.0,2107240.0,-153.0,219619.0,39023836.0
3,2013,28,60092313.0,11398192.0,143961416.0,1919243.0,176313.0,255673.0,0.0,790341.0,-98469204.0
4,2013,32,105873338.0,11822155.0,70226195.0,6505174.0,205284.0,15616.0,0.0,1201115.0,15828412.0
5,2013,44,95078305.0,24304117.0,156360981.0,7349807.0,808507.0,18736876.0,-2305309.0,894700.0,-111156319.0
6,2013,52,55919392.0,12741137.0,0.0,1957381.0,602917.0,19485.0,0.0,580754.0,39981423.0
7,2013,53,45790140.0,515186.0,0.0,2802751.0,301576.0,1020158.0,-89061.0,383240.0,40824434.0
8,2013,75,89535387.0,1712852.0,83821851.0,1411184.0,1650851.0,9116764.0,0.0,2263045.0,-10536072.0
9,2013,76,76036803.0,632175.0,38119772.0,4377371.0,1970495.0,26934470.0,-4538921.0,1235725.0,7251486.0
10,2013,84,135207267.0,2598099.0,177772378.0,1471095.0,936885.0,65735742.0,-7372249.0,1121626.0,-107105770.0
11,2013,93,85414779.0,10685719.0,0.0,224462.0,1622164.0,24791491.0,-60595.0,899452.0,47214925.0
12,2014,11,140481895.0,4164355.0,0.0,75683.0,131840.0,104326.0,0.0,2477881.0,133527486.0
13,2014,24,37175120.0,553865.0,155624315.0,3253120.0,395928.0,274041.0,0.0,822804.0,-123748503.0
14,2014,27,40827255.0,977140.0,0.0,748802.0,385557.0,1511357.0,-136.0,314287.0,36894931.0
15,2014,28,54282976.0,5877544.0,144094569.0,2093275.0,225346.0,311566.0,0.0,976725.0,-99296296.0
16,2014,32,101725681.0,8014625.0,69308296.0,7286689.0,235201.0,28129.0,0.0,1568341.0,15283656.0
17,2014,44,89759171.0,12305547.0,171497654.0,7955055.0,917567.0,17418313.0,-2498861.0,1169733.0,-119004489.0
18,2014,52,52597467.0,7185843.0,0.0,2145888.0,736485.0,48007.0,0.0,710562.0,41771377.0
19,2014,53,43325163.0,661110.0,0.0,2794737.0,354824.0,1169467.0,-103089.0,558148.0,37889948.0
20,2014,75,84469216.0,1144599.0,85016462.0,1641289.0,2345558.0,8241320.0,0.0,2378940.0,-16293024.0
21,2014,76,70532562.0,483964.0,29800068.0,4381900.0,2609385.0,25904003.0,-4859274.0,1359046.0,10854087.0
22,2014,84,128216120.0,2169851.0,175667421.0,1528810.0,1272295.0,57554947.0,-8409929.0,1604051.0,-103170890.0
23,2014,93,81304530.0,6385922.0,0.0,211670.0,2029673.0,22154787.0,-108914.0,1080361.0,49550842.0
24,2015,11,143492089.0,4784349.0,0.0,105189.0,143866.0,110167.0,0.0,2072637.0,136275359.0
25,2015,24,37356647.0,564154.0,158471340.0,3856736.0,469005.0,196075.0,0.0,845559.0,-127047021.0
26,2015,27,43072390.0,1201298.0,0.0,1390946.0,439770.0,1478145.0,-40195.0,353418.0,38253889.0
27,2015,28,56335779.0,6952808.0,129419516.0,2519957.0,243223.0,234300.0,0.0,914501.0,-83948493.0
28,2015,32,101975698.0,11129433.0,74874188.0,9935662.0,251961.0,25476.0,0.0,1897267.0,3860800.0
29,2015,44,90640769.0,15164655.0,170366349.0,10333355.0,985034.0,16140690.0,-2716221.0,1277827.0,-120908667.0
30,2015,52,53377263.0,7789131.0,0.0,2447454.0,843484.0,35201.0,0.0,687642.0,41572757.0
31,2015,53,43113729.0,826771.0,0.0,3303791.0,374668.0,1142908.0,-112993.0,622852.0,36954922.0
32,2015,75,86137642.0,1442116.0,80701951.0,1848885.0,3633610.0,6175876.0,0.0,2776563.0,-10440978.0
33,2015,76,73804226.0,516835.0,37421773.0,4636542.0,3207173.0,21134483.0,-3389573.0,1411932.0,8865937.0
34,2015,84,133554478.0,4103074.0,181653691.0,1599086.0,1568734.0,52401309.0,-7497719.0,1692016.0,-101965625.0
35,2015,93,83445010.0,12240260.0,0.0,210568.0,2412205.0,17964892.0,-20231.0,1280503.0,49356711.0
36,2016,11,146048056.0,4627383.0,0.0,121733.0,139178.0,115903.0,0.0,2478473.0,138564976.0
37,2016,24,37820550.0,561918.0,151407889.0,3604383.0,489968.0,254806.0,0.0,864584.0,-119362551.0
38,2016,27,43776659.0,1315450.0,0.0,1559115.0,431678.0,1896700.0,-16392.0,352741.0,38242040.0
39,2016,28,57211089.0,10195784.0,114492308.0,2368603.0,250779.0,262581.0,0.0,837115.0,-71195889.0
40,2016,32,102725697.0,16853710.0,62411340.0,9886944.0,295969.0,30951.0,0.0,1898477.0,11348107.0
41,2016,44,93308577.0,20356708.0,165330114.0,9878535.0,972338.0,18028462.0,-2395936.0,1594800.0,-120454044.0
42,2016,52,55126610.0,8054448.0,0.0,2524570.0,881943.0,36873.0,0.0,669353.0,42958782.0
43,2016,53,44943743.0,1154177.0,0.0,2959243.0,393261.0,1170398.0,-106877.0,622799.0,38751532.0
44,2016,75,87665768.0,1832157.0,84366770.0,1848613.0,4625659.0,7878039.0,0.0,2806447.0,-15693742.0
45,2016,76,74962157.0,596529.0,39538903.0,5150971.0,3698624.0,22188869.0,-3263279.0,1525029.0,5527206.0
46,2016,84,135093077.0,5241665.0,149861321.0,1715615.0,1642502.0,56561696.0,-7715569.0,1941831.0,-74156270.0
47,2016,93,81949013.0,17997808.0,0.0,217101.0,2699890.0,18292321.0,-453.0,1831364.0,40911238.0
48,2017,11,142644026.0,4880273.0,0.0,183248.0,148961.0,117334.0,0.0,2587541.0,134726483.0
49,2017,24,37922135.0,729864.0,149633146.0,3778173.0,533883.0,133758.0,0.0,1000376.0,-117890238.0
50,2017,27,43877359.0,1434310.0,0.0,2202740.0,470434.0,1296042.0,-75094.0,387454.0,38166377.0
51,2017,28,56206597.0,10100126.0,105941802.0,2589852.0,257659.0,252676.0,0.0,861251.0,-63796827.0
52,2017,32,102597675.0,22016856.0,62852294.0,11546755.0,260978.0,21568.0,0.0,2008248.0,3891321.0
53,2017,44,92878715.0,24401968.0,153669104.0,11134701.0,1012023.0,16001178.0,-1843160.0,1664653.0,-113159605.0
54,2017,52,54809577.0,13501316.0,0.0,2698987.0,960807.0,20770.0,0.0,766681.0,36860431.0
55,2017,53,44578825.0,1523096.0,0.0,3091197.0,413738.0,1158793.0,-115636.0,721253.0,37788274.0
56,2017,75,88125924.0,2301301.0,90265711.0,2462390.0,4944152.0,5698483.0,0.0,3211557.0,-20759593.0
57,2017,76,76593898.0,534457.0,35518538.0,6255805.0,4152764.0,18808535.0,-4454363.0,1516440.0,14261466.0
58,2017,84,135393636.0,4905701.0,159892036.0,2016423.0,1776231.0,46647866.0,-7697286.0,1877185.0,-74024525.0
59,2017,93,82461079.0,19177848.0,0.0,234711.0,3056283.0,15869433.0,-129423.0,2274703.0,41978727.0
60,2018,11,141593960.0,3493773.0,0.0,242618.0,174877.0,81144.0,0.0,2546233.0,135054817.0
61,2018,24,37557332.0,753416.0,149005835.0,4086038.0,609541.0,282830.0,0.0,1041626.0,-118225653.0
62,2018,27,42829648.0,1550673.0,0.0,2621839.0,584017.0,1644127.0,-56007.0,547755.0,35938734.0
63,2018,28,56079329.0,7043977.0,120716766.0,3035922.0,299831.0,257295.0,0.0,876261.0,-76150967.0
64,2018,32,101815048.0,17575222.0,69088885.0,14386492.0,289331.0,24015.0,0.0,2086641.0,-1637269.0
65,2018,44,91868917.0,17438565.0,161054573.0,12677878.0,1928965.0,14642021.0,-1577307.0,1692884.0,-115985655.0
66,2018,52,54793090.0,9095181.0,0.0,3263357.0,1092618.0,37125.0,0.0,769674.0,40533772.0
67,2018,53,45053105.0,1686340.0,0.0,3607709.0,451056.0,1149336.0,-111364.0,755046.0,37513734.0
68,2018,75,87595610.0,1848253.0,91502597.0,3473004.0,5979340.0,7793900.0,0.0,3073899.0,-26077773.0
69,2018,76,76903481.0,599003.0,34270619.0,6504092.0,4433608.0,27848834.0,-4628252.0,1444209.0,6430200.0
