,Date,Code INSEE région,region,tmin,tmax,tmoy,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW)
0,2019-04-01,32,Hauts-de-France,4.84,17.42,11.13,273545.0,38495.0,211440.0,41547.0,1553.0,53.0,0.0,4888.0
1,2019-04-02,44,Grand Est,5.34,17.99,11.66,252981.0,30773.0,340864.0,51991.0,5597.0,39503.0,-5807.0,5637.0
2,2019-04-02,32,Hauts-de-France,7.14,14.48,10.81,280733.0,38357.0,211135.0,60509.0,871.0,48.0,0.0,4584.0
3,2019-04-02,52,Pays de la Loire,7.65,13.75,10.7,153076.0,15071.0,0.0,10827.0,2312.0,179.0,0.0,2014.0
4,2019-04-02,27,Bourgogne-Franche-Comté,6.18,18.6,12.39,117457.0,2900.0,0.0,13568.0,1744.0,5023.0,-506.0,2254.0
5,2019-04-03,53,Bretagne,1.38,9.0,5.19,145898.0,981.0,0.0,6129.0,1434.0,3221.0,-412.0,1954.0
6,2019-04-03,84,Auvergne-Rhône-Alpes,3.75,10.16,6.95,391675.0,15093.0,399040.0,7904.0,2561.0,172374.0,-8217.0,5159.0
7,2019-04-04,53,Bretagne,0.95,10.45,5.7,154141.0,1127.0,0.0,16532.0,1324.0,3557.0,-158.0,2056.0
8,2019-04-04,24,Centre-Val de Loire,0.73,12.07,6.4,116582.0,352.0,512775.0,7365.0,2487.0,288.0,0.0,2936.0
9,2019-04-04,32,Hauts-de-France,-1.0,11.84,5.42,309228.0,74485.0,168309.0,28158.0,1523.0,48.0,0.0,4801.0
10,2019-04-05,52,Pays de la Loire,6.5,12.85,9.68,179972.0,18136.0,0.0,13421.0,2111.0,161.0,0.0,1927.0
11,2019-04-05,27,Bourgogne-Franche-Comté,-1.12,13.17,6.03,132365.0,2962.0,0.0,6324.0,2819.0,9421.0,-114.0,2299.0
12,2019-04-06,11,Île-de-France,3.92,17.2,10.56,363255.0,-57.0,0.0,837.0,602.0,579.0,0.0,6414.0
13,2019-04-06,76,Occitanie,6.76,11.5,9.13,219803.0,0.0,124033.0,19381.0,7629.0,51105.0,-2042.0,3961.0
14,2019-04-07,76,Occitanie,3.29,14.88,9.09,211947.0,2.0,117068.0,11101.0,13464.0,39145.0,-2169.0,3911.0
15,2019-04-07,28,Normandie,4.76,15.24,10.0,140588.0,13401.0,360216.0,3500.0,1081.0,758.0,0.0,2011.0
16,2019-04-07,44,Grand Est,4.02,14.76,9.39,221521.0,5722.0,377380.0,20054.0,3920.0,42207.0,-4090.0,5518.0
17,2019-04-07,27,Bourgogne-Franche-Comté,6.45,10.82,8.63,106196.0,2780.0,0.0,2558.0,878.0,6726.0,-312.0,2275.0
18,2019-04-08,32,Hauts-de-France,7.42,14.06,10.74,280418.0,47374.0,211488.0,3181.0,546.0,144.0,0.0,5195.0
19,2019-04-08,84,Auvergne-Rhône-Alpes,2.93,15.09,9.01,384227.0,909.0,438168.0,1553.0,7327.0,141220.0,-11309.0,4711.0
20,2019-04-09,28,Normandie,5.64,13.62,9.63,160025.0,15788.0,368599.0,2140.0,676.0,769.0,0.0,1992.0
21,2019-04-09,44,Grand Est,6.94,13.98,10.46,265121.0,50917.0,445443.0,3473.0,3137.0,41173.0,-2.0,5454.0
22,2019-04-09,11,Île-de-France,8.18,14.8,11.49,391864.0,-73.0,0.0,120.0,385.0,502.0,0.0,5281.0
23,2019-04-09,53,Bretagne,2.98,15.45,9.21,138143.0,128.0,0.0,2056.0,2028.0,3477.0,-197.0,2243.0
24,2019-04-10,93,Provence-Alpes-Côte d'Azur,7.42,17.13,12.28,224876.0,32469.0,0.0,474.0,8821.0,44881.0,-427.0,3368.0
25,2019-04-10,32,Hauts-de-France,6.12,12.72,9.42,289370.0,40482.0,212579.0,59507.0,1348.0,144.0,0.0,5771.0
26,2019-04-10,52,Pays de la Loire,4.8,12.95,8.88,166811.0,20311.0,0.0,6059.0,2560.0,189.0,0.0,2357.0
27,2019-04-11,28,Normandie,2.72,11.62,7.17,167431.0,15456.0,366893.0,8323.0,1626.0,785.0,0.0,1948.0
28,2019-04-11,52,Pays de la Loire,4.95,15.4,10.17,162206.0,15775.0,0.0,8335.0,5490.0,192.0,0.0,2359.0
29,2019-04-12,28,Normandie,0.82,11.3,6.06,167355.0,15545.0,368885.0,6480.0,1615.0,787.0,0.0,2016.0
30,2019-04-12,93,Provence-Alpes-Côte d'Azur,7.82,17.02,12.42,227170.0,70426.0,0.0,1305.0,10650.0,39089.0,0.0,3481.0
31,2019-04-12,53,Bretagne,0.4,13.53,6.96,137887.0,219.0,0.0,4914.0,2304.0,2491.0,-550.0,2223.0
32,2019-04-12,75,Nouvelle-Aquitaine,4.16,16.2,10.18,242465.0,711.0,198571.0,7452.0,31420.0,17857.0,0.0,8345.0
33,2019-04-13,52,Pays de la Loire,2.7,12.1,7.4,141232.0,10299.0,0.0,9048.0,5233.0,154.0,0.0,2360.0
34,2019-04-13,27,Bourgogne-Franche-Comté,0.3,10.02,5.16,114930.0,3018.0,0.0,6744.0,2955.0,4988.0,-593.0,2339.0
35,2019-04-13,44,Grand Est,0.18,8.05,4.11,252844.0,48497.0,456734.0,37933.0,5513.0,38929.0,-1570.0,5638.0
36,2019-04-13,53,Bretagne,3.2,13.1,8.15,119961.0,321.0,0.0,7687.0,2184.0,1855.0,-508.0,2251.0
37,2019-04-14,24,Centre-Val de Loire,-2.47,11.5,4.52,99643.0,576.0,422641.0,10496.0,3353.0,48.0,0.0,2833.0
38,2019-04-15,27,Bourgogne-Franche-Comté,-1.12,16.87,7.88,126397.0,2894.0,0.0,12607.0,3329.0,4487.0,-566.0,2304.0
39,2019-04-17,53,Bretagne,6.85,20.45,13.65,122547.0,48.0,0.0,12571.0,2242.0,3573.0,-294.0,2303.0
40,2019-04-17,32,Hauts-de-France,7.46,16.5,11.98,275167.0,79258.0,172945.0,10895.0,760.0,144.0,0.0,5867.0
41,2019-04-18,76,Occitanie,10.15,19.15,14.65,205326.0,0.0,122946.0,39118.0,15614.0,55376.0,-1443.0,4023.0
42,2019-04-18,52,Pays de la Loire,10.7,23.95,17.32,143043.0,9113.0,0.0,10166.0,4744.0,140.0,0.0,2453.0
43,2019-04-18,93,Provence-Alpes-Côte d'Azur,7.57,20.98,14.28,215526.0,33944.0,0.0,238.0,13949.0,40175.0,-162.0,3546.0
44,2019-04-18,27,Bourgogne-Franche-Comté,7.38,23.17,15.27,116300.0,2811.0,0.0,8349.0,3239.0,2894.0,-312.0,2311.0
45,2019-04-18,32,Hauts-de-France,8.5,22.28,15.39,262738.0,46955.0,171554.0,43029.0,1337.0,144.0,0.0,6019.0
46,2019-04-20,93,Provence-Alpes-Côte d'Azur,9.97,21.88,15.92,196001.0,2211.0,0.0,146.0,13089.0,35987.0,-20.0,3593.0
47,2019-04-20,44,Grand Est,6.65,24.54,15.59,199401.0,2753.0,373201.0,37704.0,10390.0,34698.0,-4143.0,5336.0
48,2019-04-20,52,Pays de la Loire,11.65,25.55,18.6,111032.0,-42.0,0.0,9038.0,5164.0,135.0,0.0,2555.0
49,2019-04-21,75,Nouvelle-Aquitaine,9.86,19.65,14.76,182111.0,1084.0,249610.0,2996.0,13866.0,15906.0,0.0,9214.0
50,2019-04-21,11,Île-de-France,10.2,24.38,17.29,276465.0,-33.0,0.0,612.0,902.0,305.0,0.0,5525.0
51,2019-04-21,52,Pays de la Loire,10.55,23.75,17.15,100420.0,151.0,0.0,5623.0,4285.0,104.0,0.0,2549.0
52,2019-04-21,44,Grand Est,5.9,23.75,14.82,184347.0,2767.0,332524.0,28088.0,9139.0,36608.0,-1828.0,5556.0
53,2019-04-22,52,Pays de la Loire,9.15,22.6,15.88,103574.0,165.0,0.0,5730.0,3385.0,99.0,0.0,2497.0
54,2019-04-22,76,Occitanie,8.81,20.91,14.86,169887.0,0.0,64202.0,17158.0,11964.0,35727.0,-3118.0,4380.0
55,2019-04-23,93,Provence-Alpes-Côte d'Azur,12.45,18.05,15.25,207918.0,2321.0,0.0,530.0,4935.0,40512.0,-25.0,3778.0
56,2019-04-23,44,Grand Est,9.46,21.91,15.69,238949.0,6340.0,402844.0,30419.0,6894.0,39383.0,-1656.0,5417.0
57,2019-04-24,27,Bourgogne-Franche-Comté,10.67,17.98,14.32,107241.0,2646.0,0.0,18353.0,1447.0,2526.0,-568.0,2329.0
58,2019-04-24,93,Provence-Alpes-Côte d'Azur,12.37,16.62,14.49,213298.0,2298.0,0.0,1806.0,7455.0,42292.0,-17.0,3411.0
59,2019-04-24,52,Pays de la Loire,9.8,14.8,12.3,141318.0,-324.0,0.0,12808.0,2927.0,121.0,0.0,2443.0
60,2019-04-25,27,Bourgogne-Franche-Comté,7.53,16.3,11.92,113439.0,2875.0,0.0,16560.0,858.0,2712.0,-570.0,2364.0
61,2019-04-25,52,Pays de la Loire,8.6,14.95,11.78,146890.0,161.0,0.0,19101.0,3902.0,157.0,0.0,2310.0
62,2019-04-26,28,Normandie,5.84,16.1,10.97,148305.0,16139.0,368677.0,8496.0,1092.0,783.0,0.0,1971.0
63,2019-04-26,44,Grand Est,6.71,15.82,11.27,245177.0,32086.0,394059.0,26463.0,5295.0,46063.0,-1539.0,5268.0
64,2019-04-27,53,Bretagne,7.1,13.92,10.51,108742.0,48.0,0.0,24717.0,2047.0,1178.0,-455.0,2442.0
65,2019-04-27,76,Occitanie,8.2,17.33,12.76,183196.0,1.0,88625.0,40359.0,15070.0,64580.0,-22456.0,4434.0
66,2019-04-27,75,Nouvelle-Aquitaine,9.55,14.88,12.22,210376.0,733.0,229684.0,21410.0,18340.0,18484.0,0.0,9288.0
67,2019-04-28,75,Nouvelle-Aquitaine,6.99,15.06,11.02,204273.0,721.0,230303.0,8748.0,18402.0,20062.0,0.0,9393.0
68,2019-04-28,24,Centre-Val de Loire,5.5,13.52,9.51,89382.0,576.0,410014.0,17881.0,1859.0,145.0,0.0,3050.0
